District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bayrampaşa,41.0514523,28.8983046761122,Asi Künefeleri,41.05347655758426,28.891199301376464,Dessert Shop
Bayrampaşa,41.0514523,28.8983046761122,Forum Bowling,41.04614417098693,28.897342629493863,Bowling Alley
Bayrampaşa,41.0514523,28.8983046761122,POWER CLUB Bodybuilding&Fitness Center,41.053703206363934,28.90246386943507,Gym / Fitness Center
Bayrampaşa,41.0514523,28.8983046761122,Köprülü Kardeşler Ekmek Fırını,41.054980117037886,28.892317328940628,Bakery
Bayrampaşa,41.0514523,28.8983046761122,Bamboo Cafe Restaurant,41.046286297337,28.893593990516905,Café
Bayrampaşa,41.0514523,28.8983046761122,Seyidoğlu Bayrampaşa,41.05270256130379,28.892044191699497,Café
Bayrampaşa,41.0514523,28.8983046761122,Mert 3 Unlu Mamulleri,41.057992147251305,28.899664926796856,Breakfast Spot
Bayrampaşa,41.0514523,28.8983046761122,Yorum Istanbul Pool,41.04611218121004,28.89388906092533,Pool
Bayrampaşa,41.0514523,28.8983046761122,Ramazan Bingöl Et Lokantası,41.05834804486737,28.89593950632857,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Sehit Onur Ayaydin Parki,41.056182873501974,28.904128707657087,Park
Bayrampaşa,41.0514523,28.8983046761122,ALA Reklamcilik,41.053204111652924,28.906434541135464,Arts & Crafts Store
Bayrampaşa,41.0514523,28.8983046761122,Zırhlıoğlu Toplu Tüketim A.Ş,41.04934521719997,28.890987779748915,Department Store
Bayrampaşa,41.0514523,28.8983046761122,Osmanlı Büfe,41.051588558264605,28.89181837042921,Breakfast Spot
Bayrampaşa,41.0514523,28.8983046761122,Caprice Gold Otel,41.049636888219844,28.88999236426515,Hotel
Bayrampaşa,41.0514523,28.8983046761122,İsa Usta Urfa Kebapçısı,41.052998221665646,28.890546511238508,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,KAANLAR GIDA SAN. VE TİC. A.Ş.,41.05192554402912,28.891682501697844,Cheese Shop
Bayrampaşa,41.0514523,28.8983046761122,Muratbey Peynircilik,41.050977058132695,28.89080088586696,Cheese Shop
Bayrampaşa,41.0514523,28.8983046761122,Big Yellow Taxi Benzin,41.05034199957045,28.90742543759339,Café
Bayrampaşa,41.0514523,28.8983046761122,SEYİDOĞLU MEGA,41.052703521601565,28.892069595613325,Dessert Shop
Bayrampaşa,41.0514523,28.8983046761122,Yorum İstanbul Spor Salonu,41.04627136993942,28.89355286715769,Gym
Bayrampaşa,41.0514523,28.8983046761122,Osmanli Bufe,41.05119260194076,28.89257912657906,Breakfast Spot
Bayrampaşa,41.0514523,28.8983046761122,Mega Center,41.0500295002991,28.89232673204921,Coworking Space
Bayrampaşa,41.0514523,28.8983046761122,Hasbahçe Davet Evi,41.051031201150714,28.89356783768538,Garden
Bayrampaşa,41.0514523,28.8983046761122,Ortakoy Lounge,41.05580301060337,28.893570142344576,Lounge
Bayrampaşa,41.0514523,28.8983046761122,Muratpaşa Spor Kulubü Lokali,41.05203366970476,28.907075080395966,Arcade
Bayrampaşa,41.0514523,28.8983046761122,Fenerbahçe Futbol Okulu Bayrampaşa,41.04958875185407,28.894059307541475,Soccer Stadium
Bayrampaşa,41.0514523,28.8983046761122,yeşim Pastanesi,41.054481506347656,28.894607543945312,Breakfast Spot
Beşiktaş,41.0428465,29.0075283,Beşiktaş Sahili,41.04165379262643,29.007072053758225,Waterfront
Beşiktaş,41.0428465,29.0075283,BKM Ata Demirer Gazinosu,41.04343673994791,29.006057733622605,Theater
Beşiktaş,41.0428465,29.0075283,ArkaBahçe Çizgi Roman Dükkanı,41.04255277349589,29.005357962682073,Comic Shop
Beşiktaş,41.0428465,29.0075283,Beşiktaş Meydanı,41.04301023125493,29.006770811451517,Plaza
Beşiktaş,41.0428465,29.0075283,Tarihi Unkapanı Pilavcısı,41.04313504181055,29.006516765732265,Pilavcı
Beşiktaş,41.0428465,29.0075283,Gelato Melato,41.04278313733231,29.006297998165472,Ice Cream Shop
Beşiktaş,41.0428465,29.0075283,İstanbul Deniz Müzesi,41.04174494397121,29.005032947296915,History Museum
Beşiktaş,41.0428465,29.0075283,Kazan,41.04215452834321,29.00541466061103,Beer Garden
Beşiktaş,41.0428465,29.0075283,BKM Mutfak Sahne,41.04334469258946,29.00589996376563,Performing Arts Venue
Beşiktaş,41.0428465,29.0075283,7 - 8 Hasanpaşa Fırını,41.04330688635554,29.004078285550833,Bakery
Beşiktaş,41.0428465,29.0075283,Shangri-La Bosphorus,41.04093282372134,29.0050328635235,Hotel
Beşiktaş,41.0428465,29.0075283,Bord Food & Drinks,41.041734908084194,29.005033069703412,Restaurant
Beşiktaş,41.0428465,29.0075283,Soydan Turşuları,41.04319904341798,29.00453067097983,Turşucu
Beşiktaş,41.0428465,29.0075283,Willion Pizza,41.042668,29.009533,Pizza Place
Beşiktaş,41.0428465,29.0075283,IF Performance Hall,41.04386008973959,29.00711434364586,Music Venue
Beşiktaş,41.0428465,29.0075283,Biber Burger,41.04245752631725,29.008775328092295,Burger Joint
Beşiktaş,41.0428465,29.0075283,Spa at Four Seasons Hotel Istanbul at the Bosphorus,41.04217202455234,29.01104647316652,Spa
Beşiktaş,41.0428465,29.0075283,Kırmızı Kedi Kitabevi,41.041897,29.004726,Bookstore
Beşiktaş,41.0428465,29.0075283,Cafe Of Thrones,41.043568,29.006567,Café
Beşiktaş,41.0428465,29.0075283,Mephisto,41.043591143642146,29.004872358290726,Bookstore
Beşiktaş,41.0428465,29.0075283,Midyeci Ahmet,41.04274717816846,29.010008114453466,Seafood Restaurant
Beşiktaş,41.0428465,29.0075283,Joker No:19,41.04204565423923,29.00404169975154,Bar
Beşiktaş,41.0428465,29.0075283,Beşiktaş çarşı cafe nargile,41.04487157795252,29.006978855357104,Bistro
Beşiktaş,41.0428465,29.0075283,Beşiktaş Kültür Merkezi,41.043369347709934,29.006080319113373,Performing Arts Venue
Beşiktaş,41.0428465,29.0075283,Mis Hookah Lounge,41.04387857355662,29.00460373768362,Hookah Bar
Beşiktaş,41.0428465,29.0075283,Tıkıntı,41.04471502533539,29.007720622737413,Restaurant
Beşiktaş,41.0428465,29.0075283,BKM Güldür Güldür Show,41.04332764973051,29.00608933267817,Comedy Club
Beşiktaş,41.0428465,29.0075283,Okkalı Kahve,41.043176338269745,29.00365679386921,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Çikolata Mahzeni,41.0440098277007,29.00345295667648,Chocolate Shop
Beşiktaş,41.0428465,29.0075283,Four Seasons Hotel Bosphorus,41.042101,29.012102,Hotel
Beşiktaş,41.0428465,29.0075283,Balkan Lokantası,41.04362490264848,29.006267258477788,Turkish Restaurant
Beşiktaş,41.0428465,29.0075283,Shang Palace,41.04087329302625,29.005170221493735,Chinese Restaurant
Beşiktaş,41.0428465,29.0075283,Craft Beer Lab,41.04251316689151,29.00313633620482,Beer Garden
Beşiktaş,41.0428465,29.0075283,Kartal Yuvası,41.041619290821835,29.003723926662502,Sporting Goods Shop
Beşiktaş,41.0428465,29.0075283,Yalla Falafel,41.042896,29.008146,Falafel Restaurant
Beşiktaş,41.0428465,29.0075283,Kafadaroğlu Baklava & Börekleri,41.042711964375336,29.004321767516025,Dessert Shop
Beşiktaş,41.0428465,29.0075283,Beşiktaş Köyiçi,41.04353779726824,29.004002764898814,Other Great Outdoors
Beşiktaş,41.0428465,29.0075283,The Nook Pub,41.043798959664116,29.00366940301274,Pub
Beşiktaş,41.0428465,29.0075283,Dolmabahçe Sanat Galerisi,41.04118152411614,29.004176460159908,Art Gallery
Beşiktaş,41.0428465,29.0075283,Terrace Cafe At Four Season,41.04216770123082,29.012391260510558,Café
Beşiktaş,41.0428465,29.0075283,Mendel's Chocolatier,41.04281780221966,29.0025972752616,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Matrak Beşiktaş,41.04325266480597,29.004536849912892,Kebab Restaurant
Beşiktaş,41.0428465,29.0075283,PizzaMe,41.04417871763671,29.003337346926262,Pizza Place
Beşiktaş,41.0428465,29.0075283,Bettys Coffee Roaster,41.043067088973444,29.003563319106707,Coffee Shop
Beşiktaş,41.0428465,29.0075283,The Hub Hostel & Cafe,41.04425196390616,29.004117132619857,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Dorock XL,41.042458668409914,29.00407063363943,Nightclub
Beşiktaş,41.0428465,29.0075283,Kızılkayalar,41.043497851281856,29.004560015105945,Fast Food Restaurant
Beşiktaş,41.0428465,29.0075283,Ayıbedenler Coffee & Radio,41.044651992585095,29.00363408977469,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Pizza Locale,41.043197553936565,29.002302726217664,Pizza Place
Beşiktaş,41.0428465,29.0075283,YALI Lounge,41.0422132051674,29.012330986986147,Lounge
Beşiktaş,41.0428465,29.0075283,Cumbalı Kahvaltı,41.043877106717005,29.00396935897257,Breakfast Spot
Beşiktaş,41.0428465,29.0075283,Manhattan Coffee & More,41.044047749346184,29.00353920408692,Café
Beşiktaş,41.0428465,29.0075283,Balkon Cafe & Kahvaltı,41.04365599977914,29.0030534742144,Breakfast Spot
Beşiktaş,41.0428465,29.0075283,Just Coffee,41.04375567512321,29.00356732952614,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Abbasağa Parkı,41.04666289776751,29.005872764846668,Park
Beşiktaş,41.0428465,29.0075283,Deus Ex Machina,41.042038,29.00308,Italian Restaurant
Beşiktaş,41.0428465,29.0075283,Le Chat Noir Coffee Shop,41.04416400482634,29.0038872709623,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Conrad İstanbul Executive Lounge,41.047034991369166,29.00896289215013,Roof Deck
Beşiktaş,41.0428465,29.0075283,Cafe De Cuba,41.04424337641011,29.003192677709475,Café
Beşiktaş,41.0428465,29.0075283,The United Pub,41.043954661754505,29.004413113447946,Pub
Beşiktaş,41.0428465,29.0075283,Çin Büfe,41.04298709711285,29.003056045231435,Chinese Restaurant
Beşiktaş,41.0428465,29.0075283,Conrad Istanbul Bosphorus,41.04700072724076,29.008883109749966,Hotel
Beşiktaş,41.0428465,29.0075283,Bobo Fırın//Kafe,41.04438726606083,29.012461734209303,Café
Beşiktaş,41.0428465,29.0075283,Pasta Sanatı,41.04500194060508,29.00292951372509,Dessert Shop
Beşiktaş,41.0428465,29.0075283,Kilit Bar,41.04638797930924,29.007167820441527,Bar
Beşiktaş,41.0428465,29.0075283,Beşiktaş Kahvesi Hookah Lounge,41.04454999197284,29.001967863331217,Hookah Bar
Beşiktaş,41.0428465,29.0075283,Just BBQ,41.04365783579132,29.0018168091774,BBQ Joint
Beşiktaş,41.0428465,29.0075283,Valonia Chocolate,41.04482012991946,29.002945749657954,Chocolate Shop
Beşiktaş,41.0428465,29.0075283,Holly Pipe,41.04392440560176,29.004069951536806,Café
Beşiktaş,41.0428465,29.0075283,Publig,41.04385666734681,29.003874583465155,Pub
Beşiktaş,41.0428465,29.0075283,Adem Baba'nın Yeri,41.045303477400864,29.003424600191245,Turkish Restaurant
Beşiktaş,41.0428465,29.0075283,Noh  Nod One's Head,41.045467592178305,29.00328168613054,Boutique
Beşiktaş,41.0428465,29.0075283,Milli Saraylar Resim Müzesi,41.04003809257681,29.003042178580106,Art Museum
Beşiktaş,41.0428465,29.0075283,W Istanbul,41.04230252176563,29.002615433146275,Hotel
Beşiktaş,41.0428465,29.0075283,Vogue,41.042790960108256,29.001700996290147,Lounge
Beşiktaş,41.0428465,29.0075283,Kahvaltıcılar Sokağı,41.04346351232134,29.0030068243903,Road
Beşiktaş,41.0428465,29.0075283,Gözlemece,41.0440438799483,29.003578442557416,Café
Beşiktaş,41.0428465,29.0075283,Tarihi Oktay Kurabiye Fırını,41.04593131143446,29.00294706510138,Bakery
Beşiktaş,41.0428465,29.0075283,Otlangaç Kahvaltı & Kafe,41.04437445344466,29.002369193577415,Breakfast Spot
Beşiktaş,41.0428465,29.0075283,Bay-Kuş Cafe Kahvaltı,41.04410565808393,29.002281026927825,Breakfast Spot
Beşiktaş,41.0428465,29.0075283,Molecule,41.043325260080685,29.002204289004336,Coffee Shop
Beşiktaş,41.0428465,29.0075283,B Blok Akaretler,41.043657832093,29.001993740860193,Restaurant
Beşiktaş,41.0428465,29.0075283,Atalay Kebap,41.04521998170068,29.00312093377153,Turkish Restaurant
Beşiktaş,41.0428465,29.0075283,Quppacaffe,41.04248629615593,29.00275514563483,Café
Beşiktaş,41.0428465,29.0075283,Çay Erdal'da İçilir,41.047688,29.005657,Café
Beşiktaş,41.0428465,29.0075283,Şairler Parkı,41.0423277613527,29.00028456596559,Park
Beşiktaş,41.0428465,29.0075283,La Vie Praline,41.04459313897131,29.001257419846333,Chocolate Shop
Beşiktaş,41.0428465,29.0075283,Container Atelier,41.045566918801356,29.00201144256888,Performing Arts Venue
Beşiktaş,41.0428465,29.0075283,Cup of Love,41.04519145926313,29.003018723334915,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Adler Coffee,41.0452483350297,29.00328082945267,Café
Beşiktaş,41.0428465,29.0075283,Minoa Bookstore & Café,41.042488,29.000544,Bookstore
Beşiktaş,41.0428465,29.0075283,Suflör,41.044350768258255,29.00038686956148,Dessert Shop
Beşiktaş,41.0428465,29.0075283,Sobremesa Coffee,41.04434333706374,29.000857621241124,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Beer Hall,41.042658870900915,29.001316901235853,Beer Bar
Beşiktaş,41.0428465,29.0075283,Tuğra Restaurant & Lounge,41.043103641751614,29.0151563943739,Turkish Restaurant
Beşiktaş,41.0428465,29.0075283,Şairler Kahvesi,41.04242497281307,29.000827788032616,Café
Beşiktaş,41.0428465,29.0075283,Serencebey Parkı,41.04774108629286,29.008561205170615,Park
Beşiktaş,41.0428465,29.0075283,SOLD Abbasağa,41.048235347510065,29.00555667400908,Coffee Shop
Beşiktaş,41.0428465,29.0075283,Harvey 34 Burger,41.04779361006483,29.00790156969997,Burger Joint
Beşiktaş,41.0428465,29.0075283,Dusiko Meyhane Akaretler,41.042712379726005,29.001604808531642,Meyhane
Beykoz,41.1239355,29.1083151,Karlıtepe,41.125850992352106,29.11330539785976,Scenic Lookout
Beykoz,41.1239355,29.1083151,Ayhan Kaya Kemence Atolyesi,41.123080372416275,29.107168228170977,Music Venue
